threshold,precision,recall,f1
0.0,0.532258064516129,1.0,0.6947368421052632
0.01,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.02,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.03,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.04,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.05,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.06,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.07,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.08,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.09,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.1,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.11,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.12,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.13,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.14,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.15,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.16,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.17,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.18,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.19,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.2,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.21,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.22,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.23,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.24,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.25,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.26,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.27,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.28,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.29,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.3,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.31,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.32,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.33,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.34,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.35000000000000003,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.36,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.37,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.38,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.39,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.4,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.41000000000000003,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.42,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.43,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.44,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.45,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.46,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.47000000000000003,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.48,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.49,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.5,0.8648648648648649,0.9696969696969697,0.9142857142857143
0.51,0.8888888888888888,0.9696969696969697,0.927536231884058
0.52,0.8888888888888888,0.9696969696969697,0.927536231884058
0.53,0.8888888888888888,0.9696969696969697,0.927536231884058
0.54,0.8888888888888888,0.9696969696969697,0.927536231884058
0.55,0.8888888888888888,0.9696969696969697,0.927536231884058
0.56,0.8888888888888888,0.9696969696969697,0.927536231884058
0.5700000000000001,0.8888888888888888,0.9696969696969697,0.927536231884058
0.58,0.8888888888888888,0.9696969696969697,0.927536231884058
0.59,0.8888888888888888,0.9696969696969697,0.927536231884058
0.6,0.8888888888888888,0.9696969696969697,0.927536231884058
0.61,0.8888888888888888,0.9696969696969697,0.927536231884058
0.62,0.9142857142857143,0.9696969696969697,0.9411764705882353
0.63,0.9142857142857143,0.9696969696969697,0.9411764705882353
0.64,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.65,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.66,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.67,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.68,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.6900000000000001,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.7000000000000001,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.71,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.72,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.73,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.74,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.75,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.76,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.77,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.78,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.79,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.8,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.81,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.8200000000000001,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.8300000000000001,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.84,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.85,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.86,0.9411764705882353,0.9696969696969697,0.9552238805970149
0.87,1.0,0.9696969696969697,0.9846153846153847
0.88,1.0,0.9696969696969697,0.9846153846153847
